,{%} de Ilegalidades,Total de Licitações,Total de Ilegais,Valor Licitado,Valor Ilegal,{%} Valor Ilegal
GO,0.6958333333333333,240,167,32453700.09,19787980.36,0.6097295625806715
MT,0.6947890818858561,403,280,926836304.31,29669353.11,0.03201142744628231
PB,0.6783349101229896,1057,717,510851616.51,71552023.58,0.14006420116436955
RN,0.667060212514758,1694,1130,590802355.6,126281858.89,0.21374636998823773
RR,0.6527777777777778,504,329,401105658.61,54685881.23,0.1363378452937054
ES,0.5910652920962199,291,172,48566583.14,11894638.86,0.24491405594072846
BA,0.5859943977591037,1785,1046,1656192822.2,271957835.44,0.16420662606105574
RO,0.5838509316770186,644,376,571148597.49,21871528.36,0.038293936912596444
AP,0.575,40,23,2358454.82,1414054.0,0.5995679832442159
MS,0.5657451112609575,1483,839,749185416.02,59364134.28,0.07923824064190704
RS,0.5538419913419913,3696,2047,2509244565.02,194335705.27,0.07744789327398664
PI,0.5534441805225653,842,466,905343347.8,56098574.01,0.061963866135782086
AM,0.532695374800638,1254,668,1725935402.4,78383229.24,0.04541492638195159
MA,0.5289855072463768,138,73,12095345.17,5512819.7299999995,0.455780273528151
SC,0.5191815856777494,391,203,104812356.5,16086559.73,0.1534796112517516
AL,0.5119388729703916,1047,536,789432939.73,48248474.3,0.061117888387710075
TO,0.5016393442622951,305,153,471920972.75,18425586.41,0.03904379647005209
SE,0.4864433811802233,627,305,22736188562.4,40503017.43,0.0017814339161921762
PR,0.47782925215089345,3022,1444,1332462250.28,115748160.19,0.08686787199087778
MG,0.4238561347598452,4393,1862,1913880595.2,160055761.34,0.08362891694571689
PE,0.40363498674744414,2641,1066,3249519325.04,136068729.28,0.041873494406230394
CE,0.386968085106383,1504,582,1816121013.89,59523002.43,0.03277479968281741
RJ,0.3295774647887324,12780,4212,9458140620.62,654575161.92,0.06920759461885556
AC,0.30107351984385167,6148,1851,1182798788321.47,443493664.41,0.000374952755099935
PA,0.287593984962406,532,153,114414666.82,10035538.62,0.08771199444025965
SP,0.27106816961889424,1863,505,173454988.48,45662767.9,0.2632542788198051
