Número Licitação,Descrição
12017,PRESTACAO DE SERVICO DE  LIMPEZA E CONSERVACAO - FACHADAS ENVIDRACADAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE
12017,PRESTACAO SERVICO COPA / COZINHA
12017,MANUTENCAO / REFORMA PREDIAL
12017,PRESTACAO DE SERVICO DE JARDINAGEM - GRAMADOS - 44H SEMANAISDIURNAS - 900 M2/MES
12017,PRESTACAO DE SERVICO DE  LIMPEZA E CONSERVACAO - FACHADAS ENVIDRACADAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE
12017,PRESTACAO SERVICO COPA / COZINHA
12017,MANUTENCAO / REFORMA PREDIAL
12017,PRESTACAO DE SERVICO DE JARDINAGEM - GRAMADOS - 44H SEMANAISDIURNAS - 900 M2/MES
12017,MANUTENCAO / REFORMA PREDIAL
12018,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - MONOCROMATICO - DENTRO DA FRANQUIA SEM PAPEL
12018,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - MONOCROMATICO - DENTRO DA FRANQUIA SEM PAPEL
12018,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - MONOCROMATICO - DENTRO DA FRANQUIA SEM PAPEL
12018,INCINERACAO / ATERRAMENTO - RESIDUOS INDUSTRIAIS / LIXO ESPECIAL
12018,INCINERACAO / ATERRAMENTO - RESIDUOS INDUSTRIAIS / LIXO ESPECIAL
12018,INCINERACAO / ATERRAMENTO - RESIDUOS INDUSTRIAIS / LIXO ESPECIAL
12018,INCINERACAO / ATERRAMENTO - RESIDUOS INDUSTRIAIS / LIXO ESPECIAL
12018,INCINERACAO / ATERRAMENTO - RESIDUOS INDUSTRIAIS / LIXO ESPECIAL
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
12018,DESINSETIZACAO / DESRATIZACAO / DEDETIZACAO
