,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,Município,Data Resultado Compra,Data Abertura,total,tipo,TAG
1,12020,154699,INST. FED. DO PARANA/CAMPUS LONDRINA,-99,Pregão - Registro de Preço,23411011872202019,"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica para a prestação de serviços contínuos de limpeza, conservação e higienização, mediante dedicação exclusiva de mão de obra, com fornecimento de materiais, uniformes e equipamentos, com vistas a atender às necessidades do Instituto Federal do Paraná   Campus Londrina, Campus Avançado de Arapongas e Campus Avançado Astorga, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.",Evento de Resultado de Julgame,26000,Ministério da Educação,26432,Instituto Federal do Paraná,LONDRINA,22/01/2021,14/12/2020,41998.08,OBRAS,0
103,52020,155821,INST.FED.BAIANO / CAMPUS SERRINHA,-99,Pregão - Registro de Preço,23790251015202032,"Objeto: Pregão Eletrônico -  Contratação de empresa para prestação de serviço continuado, sem dedicação exclusiva de mão de obra, de manutenção corretiva e preventiva, com fornecimento de peças, componentes elétricos, eletrônicos e mecânicos, em 02 (duas) plataformas elevatórias, uma da marca Montele, modelo PL 237 e outra da marca Thyssenkrupp, modelo STH-2, instaladas no Instituto Federal Baiano Campus Serrinha no Município de Serrinha, Estado da Bahia",Evento de Suspensão Publicado,26000,Ministério da Educação,26404,Instituto Federal Baiano,SERRINHA,15/01/2021,05/01/2021,7969.8,OBRAS,0
108,52020,160148,BASE DE ADMINISTRACAO E APOIO DO CMP,-99,Pregão - Registro de Preço,65263005692202099,"Objeto: Pregão Eletrônico -  Contratação de serviço continuado de LAVANDERIA, sem dedicação exclusiva de mão de obra, incluindo material de consumo e despesa de coleta e entrega de roupas, para um período de 12 meses, conforme condições, quantidades, exigências e estimativas, inclusive as encaminhadas pelos órgãos e entidades participantes, estabelecidas neste instrumento.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,BRASILIA,15/01/2021,11/01/2021,53640.96,OBRAS,0
109,52020,160199,HOSPITAL MILITAR DE AREA DE RECIFE,-99,Pregão - Registro de Preço,64583000150202016,"Objeto: Pregão Eletrônico -  Contratação de serviços não continuado de manutenção preventiva e corretiva, instalação e retirada de aparelhos de AR Condicionado tipo SPLIT, com reposição de peças e sem mão de obra exclusiva",Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,RECIFE,25/01/2021,13/10/2020,13490.0,OBRAS,0
128,62020,160082,PREFEITURA MILITAR DE BRASILIA,-99,Pregão - Registro de Preço,64482011291202021,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada em prestação de serviços comuns de engenharia de baixa complexidade, conforme descrito no instrumento convocatório.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,BRASILIA,13/01/2021,05/01/2021,803000.0,OBRAS,0
148,72020,160126,11º BATALHAO DE INFANTARIA DE MONTANHA,-99,Pregão - Registro de Preço,64080007425202031,"Objeto: Pregão Eletrônico -  Aquisição de materiais para Manutenção de Bens Móveis; Manobra e Patrulhamento; Proteção e Segurança; e Áudio, Vídeo e Foto para atender as necessidades do 11º Batalhão de Infantaria de Montanha.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,SAO JOAO DEL REI,19/01/2021,24/11/2020,13156.24,OBRAS,0
159,82020,925770,"FUND.DE APOIO E DESENV.AO ENS., PESQ. E EXT.",-99,Pregão - Registro de Preço,666,"Objeto: Pregão Eletrônico -  Contratação de empresa de engenharia e/ou arquitetura para elaboração de Projeto de Arquitetura, Estrutural, Elétrica e Prevenção Contra Descargas Atmosféricas, Hidrossanitário, Telefonia e Dados, Segurança Contra Incêndio e Pânico (PSCIP) .",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,25/01/2021,18/12/2020,98000.0,OBRAS,0
165,82020,160296,BASE ADM DA BRIGADA DE INFANTARIA PQDT,-99,Pregão - Registro de Preço,64298004356202014,"Objeto: Pregão Eletrônico -  Serviço de Locação de Estruturas para desdobramento em missões e eventos, atendendo às necessidades da Bda Inf Pqdt e suas OMDS.",Evento de Alteração Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RIO DE JANEIRO,26/01/2021,29/12/2020,7000.0,OBRAS,0
230,122020,153038,UNIVERSIDADE FEDERAL DA BAHIA,-99,Pregão - Registro de Preço,23066011204202069,"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica especializada em serviços de instalação e manutenção de projetores multimídia, como o fornecimento de mão-de-obra e de todas as peças necessárias à execução dos serviços.",Publicado,26000,Ministério da Educação,26232,Universidade Federal da Bahia,SALVADOR,20/01/2021,13/11/2020,13000.0,OBRAS,0
232,122020,160468,ESCOLA PREPARATORIA DE CADETES DO EXERCITO,-99,Pregão - Registro de Preço,64510014154202063,Objeto: Pregão Eletrônico -  Registro de preços para eventual contratação de empresa para a execução de serviço comum de engenharia para readequação da área destinada à separação e armazenamento temporário dos resíduos recicláveis produzidos na Escola Preparatória de Cadetes do Exército.,Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,CAMPINAS,25/01/2021,14/12/2020,100000.0,OBRAS,0
